,geonameid,name,asciiname,latitude,longitude,country code
186193,6630299,"Malfait, Mount","Malfait, Mount",-73.08333,168.15,AQ
186194,6630300,Marts Peak,Marts Peak,-78.53833,-85.40194,AQ
186195,6630301,Moyher Ridge,Moyher Ridge,-78.65,-84.86667,AQ
186196,6630302,"Mullen, Mount","Mullen, Mount",-78.8,-84.6,AQ
186197,6630303,"Myers, Mount","Myers, Mount",-72.11667,170.03333,AQ
186198,6630304,"Payne, Mount","Payne, Mount",-72.81667,167.86667,AQ
186199,6630305,Rada Peak,Rada Peak,-78.61667,-85.21667,AQ
186200,6630306,Ramorino Glacier,Ramorino Glacier,-78.4,-85.63333,AQ
186201,6630307,"Rutford, Mount","Rutford, Mount",-78.6,-85.3,AQ
186202,6630308,"Ryan, Mount","Ryan, Mount",-78.36667,-86.03333,AQ
186203,6630309,Saltzman Glacier,Saltzman Glacier,-78.65,-84.85,AQ
186204,6630310,Sanchez Peak,Sanchez Peak,-78.63333,-85.0,AQ
186205,6630311,Schatz Ridge,Schatz Ridge,-78.48333000000001,-86.05,AQ
186206,6630312,Schoening Peak,Schoening Peak,-78.52667,-85.46583000000001,AQ
186207,6630313,Severinghaus Glacier,Severinghaus Glacier,-78.66667,-85.25,AQ
186208,6630314,Shinn Ridge,Shinn Ridge,-78.43333,-85.56667,AQ
186209,6630315,Silverstein Peak,Silverstein Peak,-78.54666999999999,-85.65389,AQ
186210,6630316,Brennan Inlet,Brennan Inlet,-74.46667,-116.58333,AQ
186211,6630317,Skane Nunatak,Skane Nunatak,-64.71722,-64.27667,AQ
186212,6630318,Skog Passage,Skog Passage,-63.3,-56.48333,AQ
186213,6630319,Sowers Glacier,Sowers Glacier,-78.61667,-84.98333000000001,AQ
186214,6630320,Spillane Fjord,Spillane Fjord,-65.33333,-62.166669999999996,AQ
186215,6630321,Taylor Ledge,Taylor Ledge,-78.5,-85.95,AQ
186216,6630322,Tulaczyk Glacier,Tulaczyk Glacier,-78.58333,-85.88333,AQ
186217,6630323,Tyree Ridge,Tyree Ridge,-78.38333,-85.66667,AQ
186218,6630324,Mount Vinson,Mount Vinson,-78.52528000000001,-85.61721999999999,AQ
186219,6630325,Wahlstrom Peak,Wahlstrom Peak,-78.54972,-85.52472,AQ
186220,6630326,Willis Ridge,Willis Ridge,-78.6,-85.0,AQ
186221,6630327,Aldebaran Rock,Aldebaran Rock,-70.83762,-66.66378,AQ
186222,6630328,Brennan Point,Brennan Point,-76.08333,-146.51667,AQ
186223,6630329,"Wisneski, Mount","Wisneski, Mount",-77.96667,159.55,AQ
186224,6630330,Zapol Glacier,Zapol Glacier,-78.58333,-85.85,AQ
186225,6630331,Zinsmeister Ridge,Zinsmeister Ridge,-78.45,-85.25,AQ
186226,6630332,"Brennan, Mount","Brennan, Mount",-84.25,175.9,AQ
186227,6630333,Brennecke Nunataks,Brennecke Nunataks,-72.23516,-63.558659999999996,AQ
186228,6630334,Breplogen Mountain,Breplogen Mountain,-71.91667,5.45,AQ
186229,6630335,Breskilkampen,Breskilkampen,-72.23333000000001,25.991670000000003,AQ
186230,6630336,"Bresnahan, Mount","Bresnahan, Mount",-71.8,161.46667,AQ
186231,6630337,Brestupet,Brestupet,-68.88,-90.47833,AQ
186232,6630338,"Breton, Ilot","Breton, Ilot",-66.80417,141.3875,AQ
186233,6630339,Brewer Peak,Brewer Peak,-71.56667,168.46667,AQ
186234,6630340,Brewster Island,Brewster Island,-64.72716,-62.56839,AQ
186235,6630341,"Alden, Point","Alden, Point",-66.8,142.03333,AQ
186236,6630342,"Brewster, Mount","Brewster, Mount",-72.95,169.38333,AQ
186237,6630343,Breyer Mesa,Breyer Mesa,-86.01666999999999,-161.2,AQ
186238,6630344,"Brialmont, caleta","Brialmont, caleta",-64.27383,-60.97334,AQ
186239,6630345,"Brian, Isla","Brian, Isla",-68.12995,-67.11243,AQ
186240,6630346,"Dedo, bahía","Dedo, bahia",-65.03517,-63.02247,AQ
186241,6630347,"Brice, Mount","Brice, Mount",-75.3681,-72.59963,AQ
186242,6630348,Mount Bride,Mount Bride,-66.43333,53.95,AQ
186243,6630349,Bridge Pass,Bridge Pass,-81.76666999999999,160.7,AQ
186244,6630350,Bridge Riegel,Bridge Riegel,-76.71667,161.0,AQ
186245,6630351,Bridgeman Island,Bridgeman Island,-62.0636,-56.711830000000006,AQ
186246,6630352,Alderdice Peak,Alderdice Peak,-68.2,49.58333,AQ
186247,6630353,"Bridger, bahía","Bridger, bahia",-60.55,-45.85,AQ
186248,6630354,"Bridger, Mount","Bridger, Mount",-72.28333,167.58333000000002,AQ
186249,6630355,Bridgman Glacier,Bridgman Glacier,-72.38333,170.08333000000002,AQ
186250,6630356,"Bridgman, monte","Bridgman, monte",-66.82578000000001,-67.37865,AQ
186251,6630357,Bridwell Peak,Bridwell Peak,-71.93333,166.46667,AQ
186252,6630358,Brien Rocks,Brien Rocks,-73.21667,161.38333,AQ
186253,6630359,Briesemeister Peak,Briesemeister Peak,-69.46658000000001,-62.72928,AQ
186254,6630360,Briggs Hill,Briggs Hill,-77.81667,163.0,AQ
186255,6630361,Briggs Peak,Briggs Peak,-68.98318,-66.71029,AQ
186256,6630362,"Briggs, Punta","Briggs, Punta",-64.533,-63.033,AQ
186257,6630363,"Alderete, cabo","Alderete, cabo",-73.83333,-60.8,AQ
186258,6630364,Brimstone Peak,Brimstone Peak,-75.8,158.55,AQ
186259,6630365,Brindle Cliffs,Brindle Cliffs,-69.37931,-68.55613000000001,AQ
186260,6630366,Brinton Nunatak,Brinton Nunatak,-85.58333,-132.4,AQ
186261,6630367,Brisbane Heights,Brisbane Heights,-60.6,-45.633,AQ
